League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
Jupiler Pro League,144.0,,,False,2025-11-30,554.0,,Anderlecht,St. Gilloise,1.0,0.0,,,4.0,2.0,2.0,4.0,0.0,0.0,6.0,10.0,Desconocido
Ligue 1,61.0,,,False,2025-11-30,77.0,116.0,Angers,Lens,1.0,2.0,,,2.0,8.0,1.0,1.0,0.0,0.0,7.0,17.0,Desconocido
Turkey Super Lig,,,,False,2025-11-30,1005.0,,Antalyaspor,Goztep,1.0,2.0,,,1.0,4.0,0.0,2.0,0.0,0.0,8.0,16.0,Desconocido
Premier League,569.0,,,False,2025-11-30,66.0,39.0,Aston Villa,Wolves,1.0,0.0,,,7.0,3.0,0.0,4.0,0.0,0.0,16.0,9.0,Desconocido
Serie A,71.0,,,False,2025-11-30,499.0,502.0,Atalanta,Fiorentina,2.0,0.0,,,4.0,5.0,1.0,3.0,0.0,0.0,21.0,15.0,Desconocido
Super League Greece,,,,False,2025-11-30,12260.0,955.0,Atromitos,Asteras Tripolis,0.0,1.0,,,7.0,6.0,2.0,1.0,0.0,0.0,11.0,9.0,Desconocido
Bundesliga 2,,,,False,2025-11-30,,1313.0,Bielefeld,Preußen Münster,1.0,2.0,,,13.0,2.0,3.0,6.0,0.0,0.0,17.0,12.0,Desconocido
La Liga 2,,,,False,2025-11-30,,534.0,Castellon,Las Palmas,1.0,0.0,,,3.0,3.0,3.0,2.0,0.0,0.0,18.0,10.0,Desconocido
La Liga,140.0,,,False,2025-11-30,,,Celta,Espanol,0.0,1.0,,,4.0,3.0,1.0,2.0,0.0,0.0,11.0,9.0,Desconocido
Premier League,569.0,,,False,2025-11-30,49.0,9419.0,Chelsea,Arsenal,1.0,1.0,,,3.0,3.0,1.0,6.0,1.0,0.0,11.0,8.0,Desconocido
Jupiler Pro League,144.0,,,False,2025-11-30,,740.0,Club Brugge,Antwerp,0.0,1.0,,,9.0,4.0,0.0,3.0,0.0,0.0,27.0,12.0,Desconocido
La Liga 2,,,,False,2025-11-30,713.0,724.0,Cordoba,Cadiz,1.0,2.0,,,5.0,4.0,2.0,4.0,0.0,0.0,20.0,8.0,Desconocido
Premier League,569.0,,,False,2025-11-30,52.0,,Crystal Palace,Man United,1.0,2.0,,,4.0,4.0,3.0,2.0,0.0,0.0,14.0,14.0,Desconocido
Bundesliga 2,,,,False,2025-11-30,,,Dresden,Fortuna Dusseldorf,2.0,1.0,,,4.0,0.0,1.0,2.0,0.0,0.0,16.0,13.0,Desconocido
Bundesliga,218.0,,,False,2025-11-30,,,Ein Frankfurt,Wolfsburg,1.0,1.0,,,14.0,1.0,1.0,4.0,0.0,0.0,15.0,10.0,Desconocido
Bundesliga 2,,,,False,2025-11-30,,,Elversberg,Darmstadt,0.0,0.0,,,6.0,5.0,0.0,1.0,0.0,0.0,14.0,11.0,Desconocido
Bundesliga,218.0,,,False,2025-11-30,,,Freiburg,Mainz,4.0,0.0,,,6.0,2.0,0.0,2.0,0.0,1.0,23.0,1.0,Desconocido
Jupiler Pro League,144.0,,,False,2025-11-30,742.0,,Genk,Oud-Heverlee Leuven,2.0,1.0,,,10.0,2.0,0.0,3.0,0.0,0.0,23.0,11.0,Desconocido
Jupiler Pro League,144.0,,,False,2025-11-30,631.0,,Gent,St Truiden,1.0,2.0,,,5.0,6.0,2.0,2.0,0.0,0.0,19.0,14.0,Desconocido
La Liga,140.0,,,False,2025-11-30,547.0,541.0,Girona,Real Madrid,1.0,1.0,,,2.0,5.0,3.0,0.0,0.0,0.0,10.0,25.0,Desconocido
Eredivisie,88.0,,,False,2025-11-30,,207.0,Go Ahead Eagles,Utrecht,2.0,2.0,,,4.0,3.0,2.0,2.0,0.0,0.0,11.0,17.0,Desconocido
Bundesliga,218.0,,,False,2025-11-30,,,Hamburg,Stuttgart,2.0,1.0,,,4.0,6.0,2.0,4.0,1.0,0.0,9.0,14.0,Desconocido
Premiership Escocia,,,,False,2025-11-30,249.0,247.0,Hibernian,Celtic,1.0,2.0,,,4.0,3.0,3.0,3.0,0.0,0.0,9.0,6.0,Desconocido
Serie B,72.0,,,False,2025-11-30,863.0,1579.0,Juve Stabia,Monza,2.0,2.0,,,3.0,5.0,2.0,5.0,0.0,0.0,9.0,11.0,Desconocido
Turkey Super Lig,,,,False,2025-11-30,,,Karagumruk,Besiktas,0.0,2.0,,,2.0,9.0,3.0,0.0,0.0,0.0,7.0,27.0,Desconocido
Ligue 1,61.0,,,False,2025-11-30,111.0,79.0,Le Havre,Lille,0.0,1.0,,,6.0,2.0,1.0,3.0,0.0,1.0,14.0,8.0,Desconocido
Serie A,71.0,,,False,2025-11-30,867.0,503.0,Lecce,Torino,2.0,1.0,,,6.0,6.0,2.0,3.0,0.0,0.0,10.0,15.0,Desconocido
Super League Greece,,,,False,2025-11-30,,619.0,Levadeiakos,PAOK,2.0,3.0,,,2.0,5.0,0.0,2.0,0.0,1.0,13.0,14.0,Desconocido
Premiership Escocia,,,,False,2025-11-30,255.0,252.0,Livingston,Aberdeen,0.0,1.0,,,7.0,4.0,1.0,1.0,0.0,0.0,15.0,14.0,Desconocido
Ligue 1,61.0,,,False,2025-11-30,97.0,84.0,Lorient,Nice,3.0,1.0,,,3.0,7.0,1.0,2.0,0.0,0.0,18.0,9.0,Desconocido
Ligue 1,61.0,,,False,2025-11-30,80.0,83.0,Lyon,Nantes,3.0,0.0,,,7.0,0.0,1.0,2.0,0.0,1.0,20.0,6.0,Desconocido
La Liga 2,,,,False,2025-11-30,799.0,,Mirandes,Sociedad B,1.0,0.0,,,2.0,3.0,3.0,2.0,0.0,1.0,16.0,16.0,Desconocido
Premier League,569.0,,,False,2025-11-30,,51.0,Nott'm Forest,Brighton,0.0,2.0,,,9.0,2.0,0.0,1.0,0.0,0.0,19.0,17.0,Desconocido
Eredivisie,88.0,,,False,2025-11-30,197.0,,PSV Eindhoven,Volendam,3.0,0.0,,,5.0,2.0,0.0,0.0,0.0,0.0,19.0,11.0,Desconocido
Super League Greece,,,,False,2025-11-30,617.0,,Panathinaikos,AEK,2.0,3.0,,,5.0,2.0,4.0,5.0,1.0,1.0,14.0,7.0,Desconocido
Super League Greece,,,,False,2025-11-30,949.0,3415.0,Panetolikos,Olympiakos,0.0,1.0,,,3.0,9.0,0.0,0.0,0.0,0.0,7.0,24.0,Desconocido
Serie A,71.0,,,False,2025-11-30,801.0,505.0,Pisa,Inter,0.0,2.0,,,4.0,6.0,2.0,1.0,0.0,0.0,10.0,14.0,Desconocido
Primeira Liga,94.0,,,False,2025-11-30,,230.0,Porto,Estoril,1.0,0.0,,,5.0,4.0,1.0,3.0,0.0,0.0,12.0,11.0,Desconocido
Premiership Escocia,,,,False,2025-11-30,257.0,1389.0,Rangers,Falkirk,0.0,0.0,,,4.0,5.0,0.0,3.0,0.0,0.0,14.0,5.0,Desconocido
Primeira Liga,94.0,,,False,2025-11-30,226.0,227.0,Rio Ave,Santa Clara,1.0,1.0,,,1.0,5.0,2.0,3.0,0.0,0.0,9.0,9.0,Desconocido
Serie A,71.0,,,False,2025-11-30,,492.0,Roma,Napoli,0.0,1.0,,,4.0,2.0,4.0,3.0,0.0,0.0,8.0,8.0,Desconocido
La Liga 2,,,,False,2025-11-30,,545.0,Santander,Eibar,4.0,0.0,,,3.0,5.0,0.0,3.0,0.0,0.0,11.0,13.0,Desconocido
La Liga,140.0,,,False,2025-11-30,536.0,,Sevilla,Betis,0.0,2.0,,,6.0,4.0,2.0,3.0,1.0,0.0,9.0,9.0,Desconocido
La Liga,140.0,,,False,2025-11-30,,533.0,Sociedad,Villarreal,2.0,3.0,,,8.0,2.0,3.0,7.0,0.0,0.0,18.0,10.0,Desconocido
Primeira Liga,94.0,,,False,2025-11-30,,15130.0,Sp Lisbon,Estrela,4.0,0.0,,,5.0,1.0,1.0,0.0,0.0,0.0,19.0,5.0,Desconocido
Serie B,72.0,,,False,2025-11-30,515.0,498.0,Spezia,Sampdoria,1.0,0.0,,,3.0,9.0,2.0,3.0,0.0,0.0,10.0,9.0,Desconocido
Ligue 1,61.0,,,False,2025-11-30,95.0,,Strasbourg,Brest,1.0,2.0,,,5.0,0.0,0.0,3.0,0.0,0.0,14.0,7.0,Desconocido
Eredivisie,88.0,,,False,2025-11-30,427.0,209.0,Telstar,Feyenoord,1.0,2.0,,,3.0,5.0,0.0,3.0,0.0,0.0,12.0,11.0,Desconocido
Eredivisie,88.0,,,False,2025-11-30,415.0,201.0,Twente,AZ Alkmaar,1.0,0.0,,,2.0,3.0,2.0,4.0,0.0,0.0,7.0,7.0,Desconocido
Premier League,569.0,,,False,2025-11-30,48.0,40.0,West Ham,Liverpool,0.0,2.0,,,7.0,2.0,1.0,0.0,1.0,0.0,7.0,9.0,Desconocido
La Liga 2,,,,False,2025-11-30,732.0,537.0,Zaragoza,Leganes,3.0,2.0,,,5.0,3.0,2.0,4.0,0.0,2.0,20.0,5.0,Desconocido
League 2,,,,False,2025-11-29,,1349.0,Accrington,Oldham,1.0,0.0,,,2.0,6.0,4.0,2.0,0.0,0.0,7.0,16.0,Desconocido
La Liga 2,,,,False,2025-11-29,722.0,,Albacete,La Coruna,0.0,2.0,,,9.0,5.0,1.0,1.0,0.0,0.0,14.0,8.0,Desconocido
La Liga 2,,,,False,2025-11-29,723.0,726.0,Almeria,Huesca,0.0,0.0,,,13.0,1.0,1.0,0.0,0.0,0.0,24.0,5.0,Desconocido
National League,43.0,,,False,2025-11-29,4700.0,1340.0,Altrincham,Scunthorpe,4.0,2.0,,,,,2.0,2.0,0.0,0.0,,,Desconocido
Super League Greece,,,,False,2025-11-29,3408.0,953.0,Aris,Larisa,2.0,1.0,,,7.0,0.0,4.0,6.0,0.0,1.0,18.0,2.0,Desconocido
La Liga,140.0,,,False,2025-11-29,,718.0,Ath Madrid,Oviedo,2.0,0.0,,,7.0,2.0,0.0,1.0,0.0,0.0,14.0,12.0,Desconocido
La Liga,140.0,,,False,2025-11-29,529.0,542.0,Barcelona,Alaves,3.0,1.0,,,5.0,4.0,2.0,3.0,0.0,0.0,18.0,9.0,Desconocido
League 2,,,,False,2025-11-29,1369.0,,Barnet,Harrogate,1.0,1.0,,,7.0,3.0,0.0,2.0,0.0,0.0,18.0,9.0,Desconocido
Bundesliga,218.0,,,False,2025-11-29,,,Bayern Munich,St Pauli,3.0,1.0,,,10.0,2.0,1.0,1.0,0.0,0.0,19.0,10.0,Desconocido
League 1,,,,False,2025-11-29,1356.0,53.0,Blackpool,Reading,0.0,3.0,,,2.0,5.0,1.0,0.0,0.0,0.0,14.0,15.0,Desconocido
National League,43.0,,,False,2025-11-29,1830.0,,Boreham Wood,Halifax,2.0,1.0,,,,,2.0,0.0,0.0,0.0,,,Desconocido
League 1,,,,False,2025-11-29,1343.0,,Bradford,Exeter,1.0,0.0,,,7.0,7.0,3.0,2.0,0.0,0.0,11.0,19.0,Desconocido
National League,43.0,,,False,2025-11-29,,1375.0,Braintree Town,Morecambe,1.0,0.0,,,,,3.0,3.0,0.0,0.0,,,Desconocido
Bundesliga 2,,,,False,2025-11-29,,,Braunschweig,Kaiserslautern,2.0,0.0,,,5.0,6.0,2.0,5.0,0.0,0.0,16.0,10.0,Desconocido
Premier League,569.0,,,False,2025-11-29,55.0,44.0,Brentford,Burnley,3.0,1.0,,,5.0,6.0,0.0,2.0,0.0,0.0,14.0,6.0,Desconocido
League 2,,,,False,2025-11-29,,1376.0,Bristol Rvs,Notts County,0.0,1.0,,,9.0,2.0,2.0,5.0,0.0,1.0,17.0,5.0,Desconocido
League 1,,,,False,2025-11-29,,1373.0,Burton,Leyton Orient,0.0,4.0,,,2.0,6.0,3.0,0.0,0.0,0.0,5.0,14.0,Desconocido
League 2,,,,False,2025-11-29,,1363.0,Cambridge,Crewe,2.0,1.0,,,10.0,1.0,1.0,2.0,0.0,0.0,16.0,5.0,Desconocido
League 1,,,,False,2025-11-29,43.0,,Cardiff,Mansfield,3.0,0.0,,,6.0,4.0,1.0,1.0,0.0,0.0,19.0,7.0,Desconocido
