League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
Primeira Liga,94.0,,,False,2024-09-30,21595.0,231.0,AVS,Farense,0.0,0.0,,,6.0,3.0,4.0,3.0,0.0,0.0,12.0,9.0,Desconocido
Premier League,569.0,,,False,2024-09-30,35.0,41.0,Bournemouth,Southampton,3.0,1.0,,,7.0,4.0,2.0,5.0,0.0,0.0,14.0,9.0,Desconocido
Serie B,72.0,,,False,2024-09-30,,520.0,Brescia,Cremonese,3.0,2.0,,,9.0,5.0,4.0,3.0,0.0,0.0,14.0,19.0,Desconocido
Ligue 2,62.0,,,False,2024-09-30,90.0,88.0,Guingamp,Caen,3.0,1.0,,,7.0,6.0,2.0,3.0,0.0,0.0,13.0,6.0,Desconocido
Turkey Super Lig,,,,False,2024-09-30,1001.0,,Kayserispor,Besiktas,0.0,3.0,,,7.0,3.0,4.0,3.0,0.0,0.0,10.0,9.0,Desconocido
Super League Greece,,,,False,2024-09-30,,2099.0,Lamia,Panserraikos,1.0,2.0,,,6.0,5.0,1.0,5.0,1.0,1.0,10.0,12.0,Desconocido
Serie A,71.0,,,False,2024-09-30,523.0,490.0,Parma,Cagliari,2.0,3.0,,,5.0,3.0,3.0,2.0,0.0,0.0,18.0,11.0,Desconocido
La Liga 2,,,,False,2024-09-30,,,Santander,Cartagena,1.0,2.0,,,6.0,1.0,0.0,4.0,0.0,0.0,15.0,9.0,Desconocido
Serie B,72.0,,,False,2024-09-30,1578.0,522.0,Sudtirol,Palermo,1.0,3.0,,,3.0,6.0,4.0,2.0,0.0,0.0,16.0,7.0,Desconocido
La Liga,140.0,,,False,2024-09-30,533.0,534.0,Villarreal,Las Palmas,3.0,1.0,,,3.0,2.0,0.0,3.0,0.0,0.0,17.0,7.0,Desconocido
Super League Greece,,,,False,2024-09-29,,617.0,AEK,Panathinaikos,2.0,0.0,,,6.0,1.0,6.0,4.0,0.0,0.0,15.0,7.0,Desconocido
Eredivisie,88.0,,,False,2024-09-29,201.0,207.0,AZ Alkmaar,Utrecht,1.0,2.0,,,8.0,1.0,1.0,2.0,0.0,0.0,22.0,8.0,Desconocido
Ligue 1,61.0,,,False,2024-09-29,77.0,93.0,Angers,Reims,1.0,3.0,,,5.0,4.0,0.0,3.0,0.0,0.0,14.0,21.0,Desconocido
Turkey Super Lig,,,,False,2024-09-29,1005.0,,Antalyaspor,Fenerbahce,0.0,2.0,,,2.0,5.0,1.0,1.0,0.0,0.0,10.0,14.0,Desconocido
Jupiler Pro League,144.0,,,False,2024-09-29,740.0,263.0,Antwerp,Beerschot VA,5.0,0.0,,,,,,,,,,,Desconocido
La Liga,140.0,,,False,2024-09-29,,536.0,Ath Bilbao,Sevilla,1.0,1.0,,,4.0,7.0,0.0,3.0,1.0,0.0,13.0,13.0,Desconocido
La Liga,140.0,,,False,2024-09-29,,541.0,Ath Madrid,Real Madrid,1.0,1.0,,,5.0,5.0,3.0,1.0,1.0,0.0,12.0,12.0,Desconocido
La Liga,140.0,,,False,2024-09-29,,,Betis,Espanol,1.0,0.0,,,8.0,4.0,2.0,4.0,0.0,0.0,20.0,8.0,Desconocido
Turkey Super Lig,,,,False,2024-09-29,,,Bodrumspor,Ad. Demirspor,3.0,1.0,,,7.0,6.0,3.0,5.0,0.0,0.0,14.0,8.0,Desconocido
La Liga 2,,,,False,2024-09-29,9580.0,22018.0,Burgos,Granada,2.0,2.0,,,6.0,3.0,4.0,6.0,0.0,0.0,5.0,9.0,Desconocido
La Liga 2,,,,False,2024-09-29,,719.0,Castellon,Tenerife,2.0,1.0,,,9.0,4.0,1.0,2.0,0.0,0.0,19.0,16.0,Desconocido
La Liga,140.0,,,False,2024-09-29,,547.0,Celta,Girona,1.0,1.0,,,4.0,4.0,1.0,0.0,0.0,0.0,12.0,9.0,Desconocido
Jupiler Pro League,144.0,,,False,2024-09-29,741.0,,Cercle Brugge,St Truiden,1.0,1.0,,,9.0,7.0,1.0,3.0,0.0,0.0,13.0,9.0,Desconocido
Serie B,72.0,,,False,2024-09-29,509.0,1693.0,Cesena,Mantova,4.0,2.0,,,5.0,8.0,3.0,1.0,0.0,0.0,16.0,16.0,Desconocido
Serie A,71.0,,,False,2024-09-29,895.0,,Como,Verona,3.0,2.0,,,9.0,1.0,2.0,5.0,0.0,1.0,24.0,6.0,Desconocido
La Liga 2,,,,False,2024-09-29,713.0,,Cordoba,Ferrol,3.0,1.0,,,6.0,4.0,3.0,2.0,0.0,0.0,23.0,8.0,Desconocido
Serie A,71.0,,,False,2024-09-29,511.0,502.0,Empoli,Fiorentina,0.0,0.0,,,2.0,4.0,0.0,1.0,0.0,0.0,8.0,13.0,Desconocido
Turkey Super Lig,,,,False,2024-09-29,,,Eyupspor,Gaziantep,3.0,2.0,,,5.0,5.0,1.0,4.0,0.0,0.0,11.0,11.0,Desconocido
Bundesliga 2,,,,False,2024-09-29,,,FC Koln,Karlsruhe,4.0,4.0,,,3.0,8.0,0.0,3.0,0.0,0.0,16.0,19.0,Desconocido
Primeira Liga,94.0,,,False,2024-09-29,242.0,225.0,Famalicao,Nacional,0.0,0.0,,,8.0,4.0,1.0,4.0,0.0,0.0,16.0,11.0,Desconocido
Jupiler Pro League,144.0,,,False,2024-09-29,631.0,,Gent,Oud-Heverlee Leuven,3.0,0.0,,,4.0,7.0,1.0,2.0,0.0,0.0,10.0,12.0,Desconocido
Eredivisie,88.0,,,False,2024-09-29,202.0,,Groningen,Go Ahead Eagles,0.0,1.0,,,7.0,7.0,2.0,3.0,0.0,0.0,7.0,16.0,Desconocido
Bundesliga 2,,,,False,2024-09-29,,,Hannover,Nurnberg,2.0,0.0,,,7.0,4.0,2.0,2.0,0.0,0.0,13.0,10.0,Desconocido
Bundesliga 2,,,,False,2024-09-29,,,Hertha,Elversberg,1.0,4.0,,,7.0,7.0,3.0,5.0,0.0,0.0,11.0,11.0,Desconocido
Bundesliga,218.0,,,False,2024-09-29,,162.0,Hoffenheim,Werder Bremen,3.0,4.0,,,2.0,6.0,3.0,3.0,1.0,0.0,10.0,18.0,Desconocido
Bundesliga,218.0,,,False,2024-09-29,191.0,,Holstein Kiel,Ein Frankfurt,2.0,4.0,,,4.0,9.0,1.0,3.0,0.0,0.0,10.0,18.0,Desconocido
Premier League,569.0,,,False,2024-09-29,57.0,66.0,Ipswich,Aston Villa,2.0,2.0,,,10.0,0.0,4.0,1.0,0.0,0.0,15.0,7.0,Desconocido
Serie B,72.0,,,False,2024-09-29,863.0,801.0,Juve Stabia,Pisa,2.0,0.0,,,7.0,1.0,4.0,1.0,0.0,1.0,13.0,8.0,Desconocido
La Liga 2,,,,False,2024-09-29,539.0,723.0,Levante,Almeria,4.0,2.0,,,5.0,3.0,1.0,1.0,0.0,0.0,13.0,17.0,Desconocido
Premier League,569.0,,,False,2024-09-29,,47.0,Man United,Tottenham,0.0,3.0,,,5.0,3.0,5.0,3.0,1.0,0.0,11.0,24.0,Desconocido
Serie B,72.0,,,False,2024-09-29,899.0,498.0,Modena,Sampdoria,1.0,3.0,,,6.0,6.0,2.0,4.0,0.0,0.0,8.0,13.0,Desconocido
Ligue 1,61.0,,,False,2024-09-29,83.0,,Nantes,St Etienne,2.0,2.0,,,8.0,4.0,2.0,2.0,1.0,0.0,16.0,5.0,Desconocido
Serie A,71.0,,,False,2024-09-29,492.0,1579.0,Napoli,Monza,2.0,0.0,,,1.0,3.0,1.0,2.0,0.0,0.0,11.0,5.0,Desconocido
Super League Greece,,,,False,2024-09-29,,949.0,OFI Crete,Panetolikos,1.0,2.0,,,4.0,2.0,2.0,4.0,0.0,0.0,7.0,10.0,Desconocido
Super League Greece,,,,False,2024-09-29,3415.0,12260.0,Olympiakos,Atromitos,2.0,0.0,,,5.0,5.0,2.0,1.0,0.0,0.0,12.0,4.0,Desconocido
La Liga 2,,,,False,2024-09-29,718.0,545.0,Oviedo,Eibar,1.0,0.0,,,7.0,4.0,1.0,2.0,0.0,1.0,19.0,8.0,Desconocido
Super League Greece,,,,False,2024-09-29,619.0,3408.0,PAOK,Aris,0.0,1.0,,,5.0,5.0,2.0,3.0,0.0,0.0,12.0,9.0,Desconocido
Primeira Liga,94.0,,,False,2024-09-29,,240.0,Porto,Arouca,4.0,0.0,,,8.0,2.0,2.0,3.0,0.0,1.0,26.0,4.0,Desconocido
Premiership Escocia,,,,False,2024-09-29,257.0,249.0,Rangers,Hibernian,1.0,0.0,,,4.0,7.0,2.0,2.0,0.0,0.0,18.0,18.0,Desconocido
Serie A,71.0,,,False,2024-09-29,,517.0,Roma,Venezia,2.0,1.0,,,6.0,3.0,1.0,2.0,0.0,0.0,22.0,18.0,Desconocido
Serie B,72.0,,,False,2024-09-29,514.0,1687.0,Salernitana,Catanzaro,0.0,0.0,,,5.0,0.0,3.0,2.0,0.0,0.0,9.0,3.0,Desconocido
Primeira Liga,94.0,,,False,2024-09-29,227.0,,Santa Clara,Boavista,1.0,0.0,,,3.0,0.0,4.0,3.0,0.0,0.0,15.0,4.0,Desconocido
Primeira Liga,94.0,,,False,2024-09-29,,226.0,Sp Braga,Rio Ave,4.0,0.0,,,4.0,5.0,0.0,2.0,0.0,0.0,18.0,13.0,Desconocido
Jupiler Pro League,144.0,,,False,2024-09-29,,734.0,St. Gilloise,Kortrijk,3.0,0.0,,,6.0,3.0,2.0,3.0,0.0,0.0,17.0,4.0,Desconocido
Ligue 1,61.0,,,False,2024-09-29,95.0,81.0,Strasbourg,Marseille,1.0,0.0,,,8.0,3.0,2.0,1.0,0.0,0.0,14.0,10.0,Desconocido
Championship,407.0,,,False,2024-09-29,76.0,56.0,Swansea,Bristol City,1.0,1.0,,,3.0,8.0,1.0,3.0,0.0,0.0,7.0,15.0,Desconocido
Serie A,71.0,,,False,2024-09-29,503.0,487.0,Torino,Lazio,2.0,3.0,,,3.0,1.0,2.0,3.0,0.0,0.0,12.0,13.0,Desconocido
Ligue 1,61.0,,,False,2024-09-29,96.0,80.0,Toulouse,Lyon,1.0,2.0,,,3.0,4.0,2.0,2.0,0.0,0.0,10.0,4.0,Desconocido
Turkey Super Lig,,,,False,2024-09-29,998.0,607.0,Trabzonspor,Konyaspor,3.0,2.0,,,4.0,2.0,4.0,1.0,0.0,0.0,11.0,9.0,Desconocido
Eredivisie,88.0,,,False,2024-09-29,415.0,203.0,Twente,NAC Breda,1.0,0.0,,,4.0,3.0,2.0,2.0,0.0,0.0,18.0,7.0,Desconocido
Eredivisie,88.0,,,False,2024-09-29,417.0,194.0,Waalwijk,Ajax,0.0,2.0,,,2.0,12.0,2.0,1.0,0.0,0.0,3.0,23.0,Desconocido
Eredivisie,88.0,,,False,2024-09-29,,,Zwolle,Almere City,1.0,0.0,,,6.0,8.0,2.0,4.0,0.0,0.0,11.0,15.0,Desconocido
Turkey Super Lig,,,,False,2024-09-28,996.0,1007.0,Alanyaspor,Rizespor,1.0,0.0,,,7.0,2.0,3.0,3.0,0.0,0.0,7.0,7.0,Desconocido
Premier League,569.0,,,False,2024-09-28,9419.0,46.0,Arsenal,Leicester,4.0,2.0,,,17.0,0.0,2.0,4.0,0.0,0.0,36.0,5.0,Desconocido
Super League Greece,,,,False,2024-09-28,955.0,,Asteras Tripolis,Levadeiakos,1.0,1.0,,,4.0,3.0,2.0,3.0,0.0,0.0,8.0,13.0,Desconocido
Championship Escocia,,,,False,2024-09-28,,1383.0,Ayr,Morton,1.0,0.0,,,5.0,2.0,2.0,3.0,0.0,0.0,12.0,4.0,Desconocido
Serie B,72.0,,,False,2024-09-28,508.0,10137.0,Bari,Cosenza,1.0,1.0,,,7.0,4.0,2.0,1.0,1.0,0.0,12.0,11.0,Desconocido
National League,43.0,,,False,2024-09-28,1369.0,,Barnet,Fylde,2.0,0.0,,,,,3.0,2.0,0.0,0.0,,,Desconocido
League 1,,,,False,2024-09-28,747.0,,Barnsley,Stockport,1.0,1.0,,,3.0,5.0,3.0,1.0,0.0,0.0,11.0,15.0,Desconocido
Bundesliga,218.0,,,False,2024-09-28,,,Bayern Munich,Leverkusen,1.0,1.0,,,6.0,1.0,1.0,3.0,0.0,0.0,18.0,3.0,Desconocido
Primeira Liga,94.0,,,False,2024-09-28,211.0,,Benfica,Gil Vicente,5.0,1.0,,,11.0,2.0,1.0,2.0,0.0,0.0,18.0,10.0,Desconocido
League 1,,,,False,2024-09-28,54.0,,Birmingham,Peterboro,3.0,2.0,,,7.0,6.0,3.0,3.0,0.0,0.0,12.0,5.0,Desconocido
Championship,407.0,,,False,2024-09-28,67.0,72.0,Blackburn,QPR,2.0,0.0,,,8.0,2.0,3.0,2.0,0.0,1.0,19.0,6.0,Desconocido
League 1,,,,False,2024-09-28,1356.0,,Blackpool,Burton,3.0,0.0,,,7.0,11.0,0.0,1.0,0.0,0.0,16.0,11.0,Desconocido
Serie A,71.0,,,False,2024-09-28,500.0,499.0,Bologna,Atalanta,1.0,1.0,,,2.0,9.0,3.0,3.0,1.0,0.0,5.0,23.0,Desconocido
League 2 Escocia,,,,False,2024-09-28,,,Bonnyrigg Rose,Forfar,0.0,1.0,,,3.0,4.0,2.0,1.0,0.0,0.0,3.0,6.0,Desconocido
National League,43.0,,,False,2024-09-28,,1838.0,Boston Utd,Maidenhead,1.0,2.0,,,,,3.0,3.0,0.0,0.0,,,Desconocido
Premier League,569.0,,,False,2024-09-28,55.0,48.0,Brentford,West Ham,1.0,1.0,,,7.0,7.0,2.0,3.0,0.0,0.0,8.0,19.0,Desconocido
League 1,,,,False,2024-09-28,,1358.0,Bristol Rvs,Wycombe,1.0,2.0,,,2.0,4.0,2.0,2.0,0.0,0.0,6.0,13.0,Desconocido
League 2,,,,False,2024-09-28,1832.0,1348.0,Bromley,Milton Keynes Dons,1.0,1.0,,,4.0,2.0,1.0,1.0,0.0,0.0,12.0,13.0,Desconocido
La Liga 2,,,,False,2024-09-28,724.0,9692.0,Cadiz,Eldense,1.0,2.0,,,2.0,4.0,1.0,5.0,0.0,0.0,23.0,15.0,Desconocido
League 1,,,,False,2024-09-28,,1379.0,Cambridge,Lincoln,0.0,2.0,,,6.0,2.0,1.0,3.0,0.0,0.0,11.0,10.0,Desconocido
League 2,,,,False,2024-09-28,1371.0,1365.0,Carlisle,Grimsby,2.0,3.0,,,5.0,4.0,3.0,0.0,0.0,0.0,11.0,12.0,Desconocido
Serie B,72.0,,,False,2024-09-28,1581.0,880.0,Carrarese,Reggiana,0.0,0.0,,,5.0,5.0,3.0,5.0,0.0,0.0,17.0,10.0,Desconocido
Primeira Liga,94.0,,,False,2024-09-28,4716.0,224.0,Casa Pia,Guimaraes,1.0,1.0,,,7.0,9.0,2.0,0.0,0.0,0.0,9.0,19.0,Desconocido
Premier League,569.0,,,False,2024-09-28,49.0,51.0,Chelsea,Brighton,4.0,2.0,,,8.0,2.0,3.0,2.0,0.0,0.0,15.0,15.0,Desconocido
League 2,,,,False,2024-09-28,1372.0,1336.0,Cheltenham,Fleetwood Town,0.0,2.0,,,2.0,6.0,2.0,3.0,0.0,0.0,6.0,14.0,Desconocido
League 1 Escocia,,,,False,2024-09-28,6763.0,4249.0,Cove Rangers,Arbroath,2.0,4.0,,,10.0,4.0,2.0,1.0,0.0,0.0,9.0,8.0,Desconocido
League 1,,,,False,2024-09-28,1362.0,68.0,Crawley Town,Bolton,0.0,2.0,,,6.0,4.0,2.0,3.0,0.0,0.0,8.0,11.0,Desconocido
National League,43.0,,,False,2024-09-28,,,Dag and Red,Solihull,1.0,1.0,,,,,5.0,1.0,0.0,0.0,,,Desconocido
Bundesliga 2,,,,False,2024-09-28,,,Darmstadt,Magdeburg,1.0,2.0,,,8.0,4.0,4.0,5.0,0.0,1.0,17.0,11.0,Desconocido
Jupiler Pro League,144.0,,,False,2024-09-28,6215.0,554.0,Dender,Anderlecht,1.0,1.0,,,5.0,6.0,3.0,2.0,0.0,0.0,6.0,12.0,Desconocido
Championship,407.0,,,False,2024-09-28,69.0,71.0,Derby,Norwich,2.0,3.0,,,9.0,5.0,3.0,2.0,0.0,0.0,16.0,10.0,Desconocido
League 2,,,,False,2024-09-28,1354.0,1345.0,Doncaster,Chesterfield,0.0,3.0,,,4.0,10.0,3.0,2.0,2.0,0.0,7.0,6.0,Desconocido
Premiership Escocia,,,,False,2024-09-28,253.0,252.0,Dundee,Aberdeen,1.0,2.0,,,10.0,4.0,0.0,3.0,0.0,0.0,14.0,8.0,Desconocido
Championship Escocia,,,,False,2024-09-28,1388.0,,Dunfermline,Queens Park,1.0,2.0,,,12.0,3.0,2.0,2.0,0.0,0.0,14.0,6.0,Desconocido
National League,43.0,,,False,2024-09-28,,1349.0,Ebbsfleet,Oldham,1.0,2.0,,,,,0.0,2.0,0.0,0.0,,,Desconocido
League 2 Escocia,,,,False,2024-09-28,,6766.0,Elgin,Edinburgh City,3.0,3.0,,,5.0,0.0,1.0,2.0,1.0,0.0,12.0,9.0,Desconocido
Primeira Liga,94.0,,,False,2024-09-28,15130.0,215.0,Estrela,Moreirense,2.0,1.0,,,2.0,7.0,3.0,3.0,0.0,1.0,4.0,13.0,Desconocido
Premier League,569.0,,,False,2024-09-28,45.0,52.0,Everton,Crystal Palace,2.0,1.0,,,5.0,8.0,2.0,1.0,0.0,0.0,8.0,17.0,Desconocido
National League,43.0,,,False,2024-09-28,1378.0,1366.0,Forest Green,Hartlepool,1.0,0.0,,,,,0.0,2.0,0.0,0.0,,,Desconocido
Bundesliga,218.0,,,False,2024-09-28,,,Freiburg,St Pauli,0.0,3.0,,,4.0,2.0,3.0,3.0,0.0,0.0,6.0,10.0,Desconocido
Turkey Super Lig,,,,False,2024-09-28,645.0,,Galatasaray,Kasimpasa,3.0,3.0,,,2.0,4.0,2.0,3.0,0.0,0.0,5.0,10.0,Desconocido
Jupiler Pro League,144.0,,,False,2024-09-28,742.0,,Genk,Mechelen,2.0,1.0,,,6.0,6.0,2.0,3.0,0.0,0.0,10.0,14.0,Desconocido
Serie A,71.0,,,False,2024-09-28,495.0,10019.0,Genoa,Juventus,0.0,3.0,,,5.0,3.0,2.0,1.0,0.0,0.0,7.0,12.0,Desconocido
La Liga,140.0,,,False,2024-09-28,546.0,542.0,Getafe,Alaves,2.0,0.0,,,2.0,2.0,3.0,6.0,0.0,0.0,14.0,9.0,Desconocido
League 2,,,,False,2024-09-28,1347.0,1819.0,Gillingham,Barrow,2.0,0.0,,,7.0,3.0,5.0,2.0,0.0,0.0,7.0,9.0,Desconocido
