League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
La Liga 2,141,Spain,,False,2025-03-31,724,545,Cadiz,Eibar,0.0,0.0,,,3.0,3.0,0.0,4.0,0.0,0.0,9.0,10.0,Salvador Lax
La Liga,140.0,,,False,2025-03-31,,534.0,Celta,Las Palmas,1.0,1.0,,,4.0,2.0,3.0,0.0,0.0,0.0,19.0,4.0,Desconocido
Turkey Super Lig,,,,False,2025-03-31,,,Eyupspor,Buyuksehyr,1.0,3.0,,,4.0,3.0,1.0,1.0,0.0,0.0,11.0,12.0,Desconocido
Serie A,71.0,,,False,2025-03-31,487.0,503.0,Lazio,Torino,1.0,1.0,,,5.0,3.0,3.0,4.0,0.0,0.0,16.0,7.0,Desconocido
Ligue 2,62.0,,,False,2025-03-31,114.0,88.0,Paris FC,Caen,4.0,2.0,,,2.0,3.0,1.0,3.0,0.0,0.0,16.0,16.0,Desconocido
Serie A,71.0,,,False,2025-03-31,,523.0,Verona,Parma,0.0,0.0,,,5.0,5.0,2.0,1.0,0.0,0.0,6.0,10.0,Desconocido
Super League Greece,,,,False,2025-03-30,,619.0,AEK,PAOK,2.0,3.0,,,3.0,1.0,0.0,5.0,0.0,0.0,12.0,8.0,Desconocido
La Liga 2,141,Spain,,False,2025-03-30,722,799,Albacete,Mirandes,3.0,2.0,,,5.0,6.0,2.0,2.0,1.0,0.0,10.0,12.0,Daniel Palencia
Ligue 1,61.0,,,False,2025-03-30,77.0,94.0,Angers,Rennes,0.0,3.0,,,6.0,5.0,1.0,0.0,0.0,0.0,9.0,14.0,Desconocido
La Liga,140.0,,,False,2025-03-30,,727.0,Ath Bilbao,Osasuna,0.0,0.0,,,3.0,4.0,1.0,1.0,0.0,0.0,11.0,5.0,Desconocido
Ligue 1,61.0,,,False,2025-03-30,108.0,82.0,Auxerre,Montpellier,1.0,0.0,,,10.0,6.0,3.0,1.0,0.0,0.0,21.0,12.0,Desconocido
La Liga,140.0,,,False,2025-03-30,529.0,547.0,Barcelona,Girona,4.0,1.0,,,10.0,2.0,0.0,1.0,0.0,0.0,21.0,4.0,Desconocido
La Liga,140.0,,,False,2025-03-30,,536.0,Betis,Sevilla,2.0,1.0,,,2.0,2.0,4.0,4.0,0.0,0.0,11.0,6.0,Desconocido
Serie A,71.0,,,False,2025-03-30,490.0,1579.0,Cagliari,Monza,3.0,0.0,,,4.0,6.0,2.0,2.0,0.0,0.0,11.0,12.0,Desconocido
Serie B,72.0,,,False,2025-03-30,1581.0,508.0,Carrarese,Bari,2.0,1.0,,,7.0,7.0,2.0,4.0,0.0,0.0,11.0,21.0,Desconocido
Serie B,72.0,,,False,2025-03-30,509.0,863.0,Cesena,Juve Stabia,1.0,2.0,,,8.0,1.0,2.0,4.0,0.0,0.0,11.0,8.0,Desconocido
Jupiler Pro League,144.0,,,False,2025-03-30,,554.0,Club Brugge,Anderlecht,2.0,0.0,,,7.0,2.0,0.0,2.0,0.0,0.0,19.0,4.0,Desconocido
La Liga 2,141,Spain,,False,2025-03-30,713,797,Cordoba,Elche,1.0,2.0,,,11.0,2.0,5.0,0.0,0.0,1.0,17.0,8.0,Álvaro Moreno
Jupiler Pro League,144.0,,,False,2025-03-30,6215.0,,Dender,Westerlo,1.0,0.0,,,8.0,8.0,0.0,3.0,0.0,0.0,20.0,13.0,Desconocido
Bundesliga,218.0,,,False,2025-03-30,,,Dortmund,Mainz,3.0,1.0,,,6.0,4.0,2.0,0.0,0.0,0.0,18.0,12.0,Desconocido
Primeira Liga,94.0,,,False,2025-03-30,230.0,,Estoril,Porto,1.0,2.0,,,1.0,6.0,4.0,2.0,0.0,0.0,3.0,14.0,Desconocido
Primeira Liga,94.0,,,False,2025-03-30,242.0,21595.0,Famalicao,AVS,4.0,1.0,,,4.0,2.0,2.0,2.0,0.0,0.0,16.0,6.0,Desconocido
Eredivisie,88.0,,,False,2025-03-30,209.0,,Feyenoord,Go Ahead Eagles,3.0,2.0,,,2.0,4.0,1.0,0.0,0.0,0.0,17.0,13.0,Desconocido
