League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
National League,43.0,,,False,2025-09-30,,,Aldershot,Braintree Town,1.0,1.0,,,,,0.0,1.0,0.0,1.0,,,Desconocido
Championship,407.0,,,False,2025-09-30,54.0,,Birmingham,Sheffield Weds,2.0,2.0,,,10.0,4.0,3.0,2.0,0.0,0.0,20.0,5.0,Desconocido
Championship,407.0,,,False,2025-09-30,67.0,76.0,Blackburn,Swansea,1.0,2.0,,,7.0,3.0,3.0,2.0,0.0,0.0,14.0,7.0,Desconocido
League 1,41,England,,False,2025-09-30,1356,1359,Blackpool,Luton,2.0,2.0,,,3.0,8.0,2.0,1.0,0.0,0.0,11.0,15.0,"Martin Woods, England"
National League,43.0,,,False,2025-09-30,1830.0,1341.0,Boreham Wood,Southend,1.0,1.0,,,,,4.0,2.0,0.0,0.0,,,Desconocido
Championship,407.0,,,False,2025-09-30,56.0,57.0,Bristol City,Ipswich,1.0,1.0,,,3.0,6.0,4.0,2.0,0.0,0.0,13.0,15.0,Desconocido
League 1,,,,False,2025-09-30,43.0,,Cardiff,Burton,0.0,1.0,,,8.0,3.0,2.0,4.0,0.0,0.0,20.0,9.0,Desconocido
Championship,407.0,,,False,2025-09-30,69.0,1335.0,Derby,Charlton,1.0,1.0,,,5.0,2.0,2.0,0.0,0.0,0.0,18.0,11.0,Desconocido
Serie B,72.0,,,False,2025-09-30,512.0,509.0,Frosinone,Cesena,3.0,1.0,,,7.0,3.0,1.0,1.0,1.0,0.0,17.0,11.0,Desconocido
Championship,407.0,,,False,2025-09-30,,59.0,Hull,Preston,2.0,2.0,,,5.0,3.0,0.0,1.0,0.0,0.0,10.0,13.0,Desconocido
Serie B,72.0,,,False,2025-09-30,863.0,1693.0,Juve Stabia,Mantova,2.0,1.0,,,4.0,4.0,2.0,3.0,0.0,0.0,10.0,15.0,Desconocido
Championship,407.0,,,False,2025-09-30,46.0,1837.0,Leicester,Wrexham,1.0,1.0,,,7.0,1.0,3.0,1.0,0.0,0.0,16.0,9.0,Desconocido
Championship,407.0,,,False,2025-09-30,70.0,,Middlesbrough,Stoke,0.0,0.0,,,5.0,8.0,2.0,0.0,0.0,0.0,12.0,18.0,Desconocido
National League,43.0,,,False,2025-09-30,1375.0,1823.0,Morecambe,Gateshead,2.0,5.0,,,,,1.0,1.0,0.0,0.0,,,Desconocido
Serie B,72.0,,,False,2025-09-30,870.0,528.0,Padova,Avellino,2.0,2.0,,,4.0,1.0,2.0,1.0,0.0,0.0,11.0,12.0,Desconocido
Serie B,72.0,,,False,2025-09-30,522.0,517.0,Palermo,Venezia,0.0,0.0,,,4.0,3.0,5.0,2.0,1.0,0.0,3.0,11.0,Desconocido
Championship Escocia,,,,False,2025-09-30,,901.0,Queens Park,Partick,0.0,1.0,,,5.0,5.0,4.0,3.0,0.0,0.0,6.0,7.0,Desconocido
Serie B,72.0,,,False,2025-09-30,880.0,515.0,Reggiana,Spezia,1.0,1.0,,,2.0,5.0,5.0,1.0,0.0,1.0,14.0,3.0,Desconocido
Championship,407.0,,,False,2025-09-30,,41.0,Sheffield United,Southampton,1.0,2.0,,,4.0,5.0,3.0,4.0,0.0,0.0,8.0,12.0,Desconocido
National League,43.0,,,False,2025-09-30,,1836.0,Solihull,Woking,0.0,3.0,,,,,2.0,2.0,0.0,0.0,,,Desconocido
National League,43.0,,,False,2025-09-30,,,Sutton,Yeovil,1.0,2.0,,,,,2.0,2.0,0.0,0.0,,,Desconocido
National League,43.0,,,False,2025-09-30,,1822.0,Truro,Eastleigh,0.0,2.0,,,,,2.0,3.0,0.0,0.0,,,Desconocido
La Liga,140.0,,,False,2025-09-30,532.0,718.0,Valencia,Oviedo,1.0,2.0,,,5.0,4.0,1.0,4.0,0.0,1.0,16.0,10.0,Desconocido
Serie B,72.0,,,False,2025-09-30,527.0,508.0,Virtus Entella,Bari,2.0,2.0,,,4.0,2.0,6.0,1.0,0.0,0.0,18.0,9.0,Desconocido
Primeira Liga,94.0,,,False,2025-09-29,240.0,,Arouca,Porto,0.0,4.0,,,5.0,8.0,5.0,3.0,0.0,1.0,13.0,16.0,Desconocido
Super League Greece,197,Greece,,False,2025-09-29,12260,953,Atromitos,Larisa,1.0,1.0,,,2.0,3.0,1.0,6.0,0.0,1.0,14.0,6.0,"Michail Matsoukas, Greece"
Turkey Super Lig,,,,False,2025-09-29,,7411.0,Besiktas,Kocaelispor,3.0,1.0,,,3.0,6.0,1.0,4.0,0.0,0.0,13.0,6.0,Desconocido
Ligue 2,62.0,,,False,2025-09-29,1299.0,,Boulogne,Red Star,1.0,2.0,,,7.0,3.0,1.0,0.0,0.0,0.0,16.0,8.0,Desconocido
Premier League,569.0,,,False,2025-09-29,45.0,48.0,Everton,West Ham,1.0,1.0,,,3.0,5.0,3.0,4.0,0.0,0.0,12.0,14.0,Desconocido
Serie A,71.0,,,False,2025-09-29,495.0,487.0,Genoa,Lazio,0.0,3.0,,,6.0,0.0,5.0,1.0,0.0,0.0,17.0,10.0,Desconocido
