League,LeagueId,Country,Round,EsEliminatoria,Date,HomeTeamId,AwayTeamId,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,Referee
Serie A,71.0,,,False,2024-10-31,895.0,487.0,Como,Lazio,1.0,5.0,,,3.0,5.0,2.0,5.0,1.0,1.0,14.0,14.0,Desconocido
Serie A,71.0,,,False,2024-10-31,495.0,502.0,Genoa,Fiorentina,0.0,1.0,,,4.0,4.0,4.0,2.0,0.0,0.0,14.0,12.0,Desconocido
Serie A,71.0,,,False,2024-10-31,,503.0,Roma,Torino,1.0,0.0,,,3.0,5.0,2.0,2.0,0.0,0.0,10.0,4.0,Desconocido
Premiership Escocia,179,Scotland,,False,2024-10-30,252,257,Aberdeen,Rangers,2.0,1.0,,,4.0,6.0,5.0,3.0,0.0,0.0,19.0,17.0,J. Beaton
Serie A,71.0,,,False,2024-10-30,499.0,1579.0,Atalanta,Monza,2.0,0.0,,,5.0,1.0,2.0,3.0,0.0,0.0,16.0,4.0,Desconocido
Premiership Escocia,179,Scotland,,False,2024-10-30,247,253,Celtic,Dundee,2.0,0.0,,,7.0,2.0,1.0,2.0,0.0,0.0,24.0,3.0,R. Hardie
Serie B,72.0,,,False,2024-10-30,510.0,498.0,Cittadella,Sampdoria,0.0,0.0,,,3.0,5.0,3.0,1.0,0.0,0.0,7.0,6.0,Desconocido
Premiership Escocia,,,,False,2024-10-30,,256.0,Dundee United,Motherwell,1.0,2.0,,,11.0,3.0,3.0,4.0,0.0,0.0,17.0,9.0,Desconocido
Serie A,71.0,,,False,2024-10-30,511.0,505.0,Empoli,Inter,0.0,3.0,,,1.0,4.0,1.0,1.0,1.0,0.0,6.0,15.0,Desconocido
Eredivisie,88.0,,,False,2024-10-30,209.0,194.0,Feyenoord,Ajax,0.0,2.0,,,3.0,4.0,4.0,2.0,0.0,0.0,15.0,8.0,Desconocido
Premiership Escocia,,,,False,2024-10-30,,250.0,Hearts,Kilmarnock,1.0,2.0,,,10.0,1.0,1.0,3.0,0.0,0.0,18.0,15.0,Desconocido
Serie A,71.0,,,False,2024-10-30,10019.0,523.0,Juventus,Parma,2.0,2.0,,,10.0,6.0,2.0,0.0,0.0,0.0,24.0,13.0,Desconocido
Serie B,72.0,,,False,2024-10-30,1693.0,522.0,Mantova,Palermo,0.0,0.0,,,4.0,4.0,1.0,3.0,0.0,0.0,6.0,13.0,Desconocido
Serie B,72.0,,,False,2024-10-30,801.0,1687.0,Pisa,Catanzaro,0.0,0.0,,,7.0,3.0,4.0,2.0,0.0,1.0,20.0,7.0,Desconocido
Premiership Escocia,179,Scotland,,False,2024-10-30,902,249,Ross County,Hibernian,0.0,0.0,,,4.0,2.0,1.0,1.0,0.0,0.0,13.0,12.0,G. Irvine
Premiership Escocia,,,,False,2024-10-30,,,St Mirren,St Johnstone,3.0,1.0,,,9.0,2.0,2.0,1.0,0.0,0.0,17.0,5.0,Desconocido
Serie B,72.0,,,False,2024-10-30,1578.0,512.0,Sudtirol,Frosinone,1.0,1.0,,,4.0,5.0,2.0,2.0,0.0,0.0,12.0,6.0,Desconocido
Serie A,71.0,,,False,2024-10-30,517.0,494.0,Venezia,Udinese,3.0,2.0,,,2.0,6.0,3.0,4.0,0.0,1.0,18.0,15.0,Desconocido
Ligue 2,62.0,,,False,2024-10-29,87.0,114.0,Amiens,Paris FC,0.0,0.0,,,6.0,2.0,1.0,2.0,0.0,0.0,15.0,14.0,Desconocido
Serie B,72.0,,,False,2024-10-29,508.0,1581.0,Bari,Carrarese,0.0,0.0,,,3.0,3.0,3.0,3.0,0.0,0.0,14.0,9.0,Desconocido
Ligue 2,62.0,,,False,2024-10-29,1305.0,1301.0,Bastia,Rodez,2.0,2.0,,,4.0,7.0,2.0,2.0,0.0,0.0,17.0,14.0,Desconocido
Serie B,136,Italy,,False,2024-10-29,518,515,Brescia,Spezia,1.0,1.0,,,1.0,3.0,5.0,4.0,0.0,1.0,11.0,11.0,G. Manganiello
Serie A,71.0,,,False,2024-10-29,490.0,500.0,Cagliari,Bologna,0.0,2.0,,,7.0,2.0,2.0,2.0,0.0,0.0,14.0,11.0,Desconocido
Championship Escocia,180,Scotland,,False,2024-10-29,1388,255,Dunfermline,Livingston,3.0,0.0,,,6.0,5.0,2.0,3.0,0.0,0.0,15.0,6.0,D. McFarlane
League 2,,,,False,2024-10-29,1336.0,,Fleetwood Town,Salford,2.0,2.0,,,2.0,2.0,3.0,6.0,0.0,0.0,18.0,11.0,Desconocido
Ligue 2,62.0,,,False,2024-10-29,101.0,3012.0,Grenoble,Annecy,0.0,0.0,,,2.0,3.0,0.0,2.0,0.0,0.0,7.0,16.0,Desconocido
Ligue 2,62.0,,,False,2024-10-29,90.0,,Guingamp,Ajaccio,1.0,0.0,,,2.0,2.0,1.0,1.0,0.0,0.0,11.0,6.0,Desconocido
Serie B,72.0,,,False,2024-10-29,863.0,488.0,Juve Stabia,Sassuolo,2.0,2.0,,,3.0,3.0,0.0,1.0,0.0,1.0,16.0,12.0,Desconocido
Ligue 2,62.0,,,False,2024-10-29,433.0,,Laval,Clermont,1.0,2.0,,,3.0,4.0,1.0,2.0,0.0,0.0,14.0,9.0,Desconocido
Serie A,71.0,,,False,2024-10-29,867.0,,Lecce,Verona,1.0,0.0,,,3.0,4.0,1.0,3.0,0.0,2.0,14.0,7.0,Desconocido
League 1,41,England,,False,2024-10-29,1379,1337,Lincoln,Northampton,2.0,1.0,,,9.0,1.0,3.0,4.0,0.0,1.0,12.0,9.0,O. Yates
Ligue 2,62.0,,,False,2024-10-29,97.0,1304.0,Lorient,Dunkerque,4.0,2.0,,,4.0,1.0,0.0,3.0,0.0,1.0,11.0,9.0,Desconocido
Ligue 2,62,France,,False,2024-10-29,3200,88,Martigues,Caen,0.0,3.0,,,7.0,4.0,2.0,3.0,1.0,0.0,10.0,15.0,E. Rosier
Serie A,71.0,,,False,2024-10-29,,492.0,Milan,Napoli,0.0,2.0,,,5.0,1.0,0.0,1.0,0.0,0.0,13.0,9.0,Desconocido
Serie B,72.0,,,False,2024-10-29,899.0,520.0,Modena,Cremonese,2.0,2.0,,,8.0,5.0,2.0,4.0,0.0,0.0,19.0,13.0,Desconocido
Championship Escocia,,,,False,2024-10-29,1383.0,,Morton,Queens Park,0.0,1.0,,,8.0,3.0,4.0,2.0,1.0,0.0,13.0,9.0,Desconocido
Championship Escocia,,,,False,2024-10-29,,,Raith Rvs,Airdrie Utd,1.0,0.0,,,3.0,3.0,1.0,1.0,0.0,0.0,6.0,5.0,Desconocido
Ligue 2,62.0,,,False,2024-10-29,,112.0,Red Star,Metz,1.0,0.0,,,0.0,13.0,2.0,1.0,0.0,0.0,6.0,16.0,Desconocido
